ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
175,Nicaragua,NIC,Total natural resources rents (% of GDP),3.8518734,4.2506108,4.3333049,4.435393,4.4171545,3.0764567,4.0374943,3.3452469
176,Niger,NER,Total natural resources rents (% of GDP),7.322616,8.6391068,10.9216991,11.9567164,10.7987498,10.1977762,10.0093731,9.5936926
177,Nigeria,NGA,Total natural resources rents (% of GDP),14.8336227,19.1656235,16.6926468,12.9061937,10.3155428,5.0255029,4.8104201,8.6553235
178,North America,NAC,Total natural resources rents (% of GDP),1.0780857,1.4436169,0.9680986,0.943679,0.799109,0.3133528,0.4068309,0.5590944
179,North Macedonia,MKD,Total natural resources rents (% of GDP),4.7123974,3.3898147,2.1796289,2.7602402,3.0075522,1.2801479,1.2401786,1.7132822
180,Northern Mariana Islands,MNP,Total natural resources rents (% of GDP),,,,,,,,
181,Norway,NOR,Total natural resources rents (% of GDP),8.8001142,10.8627179,10.2220331,8.7319848,7.8306535,5.2328082,4.0753533,5.8137471
182,Not classified,INX,Total natural resources rents (% of GDP),,,,,,,,
183,OECD members,OED,Total natural resources rents (% of GDP),1.1552386,1.4850387,1.2081629,1.1489441,0.9837395,0.5603067,0.5522534,0.7166715
184,Oman,OMN,Total natural resources rents (% of GDP),39.6251083,49.9539843,46.5862194,44.9504842,39.3656887,24.0251086,19.7911018,23.4233395
185,Other small states,OSS,Total natural resources rents (% of GDP),18.8764815,23.9186159,23.3781669,21.5774886,18.8004291,11.5588311,8.8012654,10.4207817
186,Pacific island small states,PSS,Total natural resources rents (% of GDP),3.7910242,4.3856608,4.9238635,4.1048944,4.2485975,3.6472178,3.4718312,3.9678104
187,Pakistan,PAK,Total natural resources rents (% of GDP),1.966254,2.8216067,2.6168058,2.2612451,2.1896834,1.3362753,0.9576227,1.0759189
188,Palau,PLW,Total natural resources rents (% of GDP),,,,,,,,
189,Panama,PAN,Total natural resources rents (% of GDP),0.252785,0.3126108,0.3253904,0.2668287,0.3018311,0.1991011,0.1345299,0.1226999
190,Papua New Guinea,PNG,Total natural resources rents (% of GDP),29.8623504,28.4644642,23.2026838,18.3938335,21.0034357,20.1126897,20.3977513,21.5444349
191,Paraguay,PRY,Total natural resources rents (% of GDP),1.9422566,1.4288129,1.4724705,1.4432276,1.510451,1.5171694,1.7379936,1.4231725
192,Peru,PER,Total natural resources rents (% of GDP),10.7806462,12.5344447,10.3539339,8.510688,7.431386,6.5818747,7.3539618,9.0358386
193,Philippines,PHL,Total natural resources rents (% of GDP),2.850422,4.0881466,2.4801253,1.9179134,2.5354324,1.6627467,1.1762,1.2872084
