ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
232,Suriname,SUR,Population male (% of total population),50.3702332,50.3571716,50.3452213,50.3333668,50.3228034,50.3124464,50.302452,50.292287
233,Sweden,SWE,Population male (% of total population),49.8092843,49.8498052,49.8875123,49.9222605,49.9542052,49.9834254,50.0097652,50.0331604
234,Switzerland,CHE,Population male (% of total population),49.240063,49.2984434,49.3541214,49.4055773,49.4515661,49.4913867,49.5244045,49.5510003
235,Syrian Arab Republic,SYR,Population male (% of total population),50.4858013,50.4355413,50.4131859,50.40756,50.3996775,50.3737899,50.325323,50.2602911
236,Tajikistan,TJK,Population male (% of total population),50.4535366,50.4669369,50.4714383,50.4689705,50.4622658,50.4533524,50.442606,50.4299757
237,Tanzania,TZA,Population male (% of total population),49.8786782,49.8892991,49.8955105,49.8996105,49.9045817,49.9122403,49.9228839,49.9355063
238,Thailand,THA,Population male (% of total population),49.0085026,48.9748902,48.9413868,48.9077662,48.8736805,48.8389768,48.8034801,48.7673967
239,Timor-Leste,TLS,Population male (% of total population),50.5471794,50.5508672,50.5533088,50.5536345,50.5527819,50.5510351,50.5489675,50.54526
240,Togo,TGO,Population male (% of total population),49.6075167,49.6266718,49.6432213,49.658038,49.6723381,49.6869795,49.7020221,49.7171258
241,Tonga,TON,Population male (% of total population),50.1341591,50.1158771,50.0788429,50.0402877,50.0064342,49.9831316,49.9826978,49.9960785
242,Trinidad and Tobago,TTO,Population male (% of total population),49.5245997,49.5106198,49.4972539,49.4843053,49.4706523,49.4564091,49.4414412,49.4256752
243,Tunisia,TUN,Population male (% of total population),49.8628193,49.8035538,49.7347329,49.6650719,49.6066823,49.5675339,49.5501569,49.5507301
244,Turkey,TUR,Population male (% of total population),49.1714711,49.1709164,49.1735802,49.181102,49.1954513,49.2173066,49.2478617,49.2849607
245,Turkmenistan,TKM,Population male (% of total population),49.1922588,49.1996445,49.2092304,49.2194174,49.2284577,49.2350524,49.2388613,49.2401523
246,Turks and Caicos Islands,TCA,Population male (% of total population),,,,,,,,
247,Tuvalu,TUV,Population male (% of total population),,,,,,,,
248,Uganda,UGA,Population male (% of total population),49.077151,49.0650174,49.0646118,49.0747053,49.0932969,49.1183478,49.1496103,49.1859369
249,Ukraine,UKR,Population male (% of total population),46.1582292,46.1560965,46.173041,46.2025671,46.2348938,46.2627051,46.2838779,46.3000724
250,United Arab Emirates,ARE,Population male (% of total population),74.8066374,74.3144404,73.4369965,72.3333719,71.2518702,70.3975733,69.8413787,69.5197511
251,United Kingdom,GBR,Population male (% of total population),49.1260286,49.1588303,49.1925276,49.2262274,49.2585488,49.288528,49.3158989,49.3411266
252,United States,USA,Population male (% of total population),49.386811,49.4003966,49.4165951,49.4337037,49.4493265,49.4617788,49.4706872,49.4766177
253,Upper middle income,UMC,Population male (% of total population),50.3400592,50.3361301,50.3306996,50.3240669,50.3166791,50.3087938,50.3006533,50.2922175
254,Uruguay,URY,Population male (% of total population),48.1915581,48.193727,48.1995576,48.20805,48.2189506,48.2317037,48.2457926,48.261604
255,Uzbekistan,UZB,Population male (% of total population),49.7343763,49.7490493,49.7642041,49.7798122,49.7959798,49.8126549,49.8297026,49.8466823
256,Vanuatu,VUT,Population male (% of total population),50.772598,50.7524994,50.7452757,50.744047,50.7442551,50.7409784,50.733672,50.7227696
257,Venezuela RB,VEN,Population male (% of total population),49.8937586,49.8673682,49.8441989,49.8163933,49.7734196,49.7084635,49.6150329,49.4959473
258,Vietnam,VNM,Population male (% of total population),49.7300582,49.7608893,49.786411,49.8080093,49.8279606,49.8477779,49.8676368,49.886569
259,Virgin Islands (U.S.),VIR,Population male (% of total population),47.8545708,47.79099,47.7445889,47.7132872,47.6894974,47.6531682,47.6270879,47.5917705
260,West Bank and Gaza,PSE,Population male (% of total population),50.7366053,50.7348324,50.7369202,50.7404718,50.7428024,50.7419698,50.7375459,50.7304782
261,World,WLD,Population male (% of total population),50.4180862,50.4197244,50.4191419,50.4172877,50.4154579,50.4143746,50.4143229,50.4150547
262,Yemen Rep.,YEM,Population male (% of total population),50.4066448,50.4080128,50.4088681,50.4088183,50.4075166,50.4047701,50.4004791,50.394806
263,Zambia,ZMB,Population male (% of total population),49.3790895,49.3929381,49.4143026,49.43907,49.4621064,49.4803698,49.4930073,49.5013293
264,Zimbabwe,ZWE,Population male (% of total population),47.6386327,47.6109913,47.5826314,47.5583613,47.5458371,47.54939,47.5698162,47.6030406
